Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Learning\Learning\Learning.csproj,File,Learning\Learning\TreeViewer.Designer.cs,74,12,F:System.Drawing.GraphicsUnit.Point,,,,,"this.labelCheckedItems.Font = new System.Drawing.Font(""Microsoft Sans Serif"", 15F, System.Drawing.FontStyle.Regular, System.Drawing.GraphicsUnit.Point, ((byte)(0)));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Learning\Learning\Learning.csproj,File,Learning\Learning\TreeViewer.Designer.cs,74,12,T:System.Drawing.FontStyle,,,,,"this.labelCheckedItems.Font = new System.Drawing.Font(""Microsoft Sans Serif"", 15F, System.Drawing.FontStyle.Regular, System.Drawing.GraphicsUnit.Point, ((byte)(0)));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Learning\Learning\Learning.csproj,File,Learning\Learning\TreeViewer.Designer.cs,74,12,T:System.Drawing.FontStyle,,,,,"this.labelCheckedItems.Font = new System.Drawing.Font(""Microsoft Sans Serif"", 15F, System.Drawing.FontStyle.Regular, System.Drawing.GraphicsUnit.Point, ((byte)(0)));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Learning\Learning\Learning.csproj,File,Learning\Learning\TreeViewer.Designer.cs,74,12,F:System.Drawing.FontStyle.Regular,,,,,"this.labelCheckedItems.Font = new System.Drawing.Font(""Microsoft Sans Serif"", 15F, System.Drawing.FontStyle.Regular, System.Drawing.GraphicsUnit.Point, ((byte)(0)));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Learning\Learning\Learning.csproj,File,Learning\Learning\TreeViewer.Designer.cs,74,12,T:System.Drawing.Font,,,,,"this.labelCheckedItems.Font = new System.Drawing.Font(""Microsoft Sans Serif"", 15F, System.Drawing.FontStyle.Regular, System.Drawing.GraphicsUnit.Point, ((byte)(0)));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Learning\Learning\Learning.csproj,File,Learning\Learning\TreeViewer.Designer.cs,74,12,"M:System.Drawing.Font.#ctor(System.String,System.Single,System.Drawing.FontStyle,System.Drawing.GraphicsUnit,System.Byte)",,,,,"this.labelCheckedItems.Font = new System.Drawing.Font(""Microsoft Sans Serif"", 15F, System.Drawing.FontStyle.Regular, System.Drawing.GraphicsUnit.Point, ((byte)(0)));"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Learning\Learning\Learning.csproj,File,Learning\Learning\TreeViewer.Designer.cs,74,12,T:System.Windows.Forms.Label,,,,,"this.labelCheckedItems.Font = new System.Drawing.Font(""Microsoft Sans Serif"", 15F, System.Drawing.FontStyle.Regular, System.Drawing.GraphicsUnit.Point, ((byte)(0)));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Learning\Learning\Learning.csproj,File,Learning\Learning\TreeViewer.Designer.cs,74,12,T:System.Drawing.Font,,,,,"this.labelCheckedItems.Font = new System.Drawing.Font(""Microsoft Sans Serif"", 15F, System.Drawing.FontStyle.Regular, System.Drawing.GraphicsUnit.Point, ((byte)(0)));"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Learning\Learning\Learning.csproj,File,Learning\Learning\TreeViewer.Designer.cs,74,12,P:System.Windows.Forms.Control.Font,,,,,"this.labelCheckedItems.Font = new System.Drawing.Font(""Microsoft Sans Serif"", 15F, System.Drawing.FontStyle.Regular, System.Drawing.GraphicsUnit.Point, ((byte)(0)));"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Learning\Learning\Learning.csproj,File,Learning\Learning\TreeViewer.Designer.cs,73,12,T:System.Windows.Forms.Label,,,,,this.labelCheckedItems.AutoSize = true;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Learning\Learning\Learning.csproj,File,Learning\Learning\TreeViewer.Designer.cs,73,12,P:System.Windows.Forms.Label.AutoSize,,,,,this.labelCheckedItems.AutoSize = true;
